Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Max Fried (38979777),Max Fried,38979777,P,9700,NYY@LAA 05/28/2025 09:38PM ET,NYY,23.23
SP,Carlos Rodon (38979778),Carlos Rodon,38979778,P,9700,NYY@LAA 05/28/2025 09:38PM ET,NYY,24.06
SP,Gerrit Cole (38979779),Gerrit Cole,38979779,P,9700,NYY@LAA 05/28/2025 09:38PM ET,NYY,0
SP,Jacob deGrom (38979780),Jacob deGrom,38979780,P,9600,TOR@TEX 05/28/2025 08:05PM ET,TEX,19.21
SP,Nathan Eovaldi (38979781),Nathan Eovaldi,38979781,P,9600,TOR@TEX 05/28/2025 08:05PM ET,TEX,21.92
RP,Cody Bradford (38979782),Cody Bradford,38979782,P,9600,TOR@TEX 05/28/2025 08:05PM ET,TEX,0
SP,Logan Gilbert (38979783),Logan Gilbert,38979783,P,9500,WSH@SEA 05/28/2025 09:40PM ET,SEA,21.54
SP,Bryan Woo (38979784),Bryan Woo,38979784,P,9500,WSH@SEA 05/28/2025 09:40PM ET,SEA,21.26
SP,Shota Imanaga (38979785),Shota Imanaga,38979785,P,9300,COL@CHC 05/28/2025 08:05PM ET,CHC,15.39
SP,Justin Steele (38979786),Justin Steele,38979786,P,9300,COL@CHC 05/28/2025 08:05PM ET,CHC,16.2
SP,Hunter Greene (38979485),Hunter Greene,38979485,P,9000,CIN@KC 05/28/2025 07:40PM ET,CIN,22.15
SP,Cole Ragans (38979787),Cole Ragans,38979787,P,9000,CIN@KC 05/28/2025 07:40PM ET,KC,19.46
SP,Kris Bubic (38979788),Kris Bubic,38979788,P,9000,CIN@KC 05/28/2025 07:40PM ET,KC,22.41
RP,Seth Lugo (38979789),Seth Lugo,38979789,P,9000,CIN@KC 05/28/2025 07:40PM ET,KC,16.41
SP,Noah Cameron (38979486),Noah Cameron,38979486,P,8800,CIN@KC 05/28/2025 07:40PM ET,KC,21.23
SP,Andrew Abbott (38979790),Andrew Abbott,38979790,P,8800,CIN@KC 05/28/2025 07:40PM ET,CIN,19.09
SP,Tyler Mahle (38979487),Tyler Mahle,38979487,P,8600,TOR@TEX 05/28/2025 08:05PM ET,TEX,16.34
SP,Patrick Corbin (38979791),Patrick Corbin,38979791,P,8600,TOR@TEX 05/28/2025 08:05PM ET,TEX,13.13
SP,George Kirby (38979488),George Kirby,38979488,P,8500,WSH@SEA 05/28/2025 09:40PM ET,SEA,0.85
SP,Bryce Miller (38979792),Bryce Miller,38979792,P,8500,WSH@SEA 05/28/2025 09:40PM ET,SEA,10.51
SP,Luis Castillo (38979793),Luis Castillo,38979793,P,8500,WSH@SEA 05/28/2025 09:40PM ET,SEA,14.64
SP,Matthew Boyd (38979489),Matthew Boyd,38979489,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,16.37
SP,Jameson Taillon (38979794),Jameson Taillon,38979794,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,15.10
SP,Ben Brown (38979795),Ben Brown,38979795,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,11.6
SP,Cade Horton (38979796),Cade Horton,38979796,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,12.89
RP,Trevor Richards (38979797),Trevor Richards,38979797,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,0
RP,Tyson Miller (38979798),Tyson Miller,38979798,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,0
SP,Chris Flexen (38979799),Chris Flexen,38979799,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,6.82
RP,Eli Morgan (38979800),Eli Morgan,38979800,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,-0.64
RP,Nate Pearson (38979801),Nate Pearson,38979801,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,-0.39
SP,Jordan Wicks (38979802),Jordan Wicks,38979802,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,-0.55
SP,Javier Assad (38979803),Javier Assad,38979803,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,0
RP,Colin Rea (38979804),Colin Rea,38979804,P,8300,COL@CHC 05/28/2025 08:05PM ET,CHC,11.54
SP,MacKenzie Gore (38979805),MacKenzie Gore,38979805,P,8200,WSH@SEA 05/28/2025 09:40PM ET,WSH,21.71
SP,Griffin Canning (38979490),Griffin Canning,38979490,P,8100,-,NYM,15.49
SP,Tylor Megill (38979806),Tylor Megill,38979806,P,8100,-,NYM,17.50
SP,Sean Manaea (38979807),Sean Manaea,38979807,P,8100,-,NYM,0
RP,Clay Holmes (38979808),Clay Holmes,38979808,P,8100,-,NYM,16.45
SP,Max Kranick (38979809),Max Kranick,38979809,P,8100,-,NYM,4.01
RP,Austin Warren (38979810),Austin Warren,38979810,P,8100,-,NYM,3.65
SP,Kodai Senga (38979811),Kodai Senga,38979811,P,8100,-,NYM,18.92
SP,Frankie Montas (38979812),Frankie Montas,38979812,P,8100,-,NYM,0
SP,Christian Scott (38979813),Christian Scott,38979813,P,8100,-,NYM,0
SP,Paul Blackburn (38979814),Paul Blackburn,38979814,P,8100,-,NYM,0
RP,Brandon Waddell (38979815),Brandon Waddell,38979815,P,8100,-,NYM,15.95
SP,Blade Tidwell (38979816),Blade Tidwell,38979816,P,8100,-,NYM,-7.55
SP,David Peterson (38979817),David Peterson,38979817,P,8100,-,NYM,16.83
RP,Jose Butto (38979818),Jose Butto,38979818,P,8100,-,NYM,3.57
RP,Justin Hagenman (38979819),Justin Hagenman,38979819,P,8100,-,NYM,11.7
SP,Kevin Gausman (38979820),Kevin Gausman,38979820,P,8000,TOR@TEX 05/28/2025 08:05PM ET,TOR,18.12
SP,Chris Bassitt (38979821),Chris Bassitt,38979821,P,8000,TOR@TEX 05/28/2025 08:05PM ET,TOR,16.74
SP,Jose Berrios (38979822),Jose Berrios,38979822,P,8000,TOR@TEX 05/28/2025 08:05PM ET,TOR,13.27
SP,Michael Lorenzen (38979823),Michael Lorenzen,38979823,P,8000,CIN@KC 05/28/2025 07:40PM ET,KC,12.99
SP,Michael Wacha (38979824),Michael Wacha,38979824,P,8000,CIN@KC 05/28/2025 07:40PM ET,KC,13.40
SP,Rhett Lowder (38979825),Rhett Lowder,38979825,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,0
SP,Connor Phillips (38979826),Connor Phillips,38979826,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,0
SP,Graham Ashcraft (38979827),Graham Ashcraft,38979827,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,3.93
RP,Lyon Richardson (38979828),Lyon Richardson,38979828,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,3.00
SP,Brandon Williamson (38979829),Brandon Williamson,38979829,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,0
RP,Carson Spiers (38979830),Carson Spiers,38979830,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,7.13
SP,Nick Lodolo (38979831),Nick Lodolo,38979831,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,15.91
RP,Nick Martinez (38979832),Nick Martinez,38979832,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,13.97
SP,Chase Petty (38979833),Chase Petty,38979833,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,-6.3
SP,Brady Singer (38979834),Brady Singer,38979834,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,13.56
SP,Julian Aguiar (38979835),Julian Aguiar,38979835,P,7800,CIN@KC 05/28/2025 07:40PM ET,CIN,0
SP,Clarke Schmidt (38979491),Clarke Schmidt,38979491,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,13.71
RP,Ryan Yarbrough (38979836),Ryan Yarbrough,38979836,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,9.22
SP,Will Warren (38979837),Will Warren,38979837,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,15.91
SP,Luis Gil (38979838),Luis Gil,38979838,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,0
SP,Michael Arias (38979839),Michael Arias,38979839,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,0
SP,JT Brubaker (38979840),JT Brubaker,38979840,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,0
SP,Marcus Stroman (38979841),Marcus Stroman,38979841,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,-0.13
SP,Allan Winans (38979842),Allan Winans,38979842,P,7700,NYY@LAA 05/28/2025 09:38PM ET,NYY,0
SP,Jack Leiter (38979843),Jack Leiter,38979843,P,7600,TOR@TEX 05/28/2025 08:05PM ET,TEX,11.88
SP,David Buchanan (38979844),David Buchanan,38979844,P,7600,TOR@TEX 05/28/2025 08:05PM ET,TEX,0
RP,Cole Winn (38979845),Cole Winn,38979845,P,7600,TOR@TEX 05/28/2025 08:05PM ET,TEX,4.25
SP,Jon Gray (38979846),Jon Gray,38979846,P,7600,TOR@TEX 05/28/2025 08:05PM ET,TEX,0
SP,Kumar Rocker (38979847),Kumar Rocker,38979847,P,7600,TOR@TEX 05/28/2025 08:05PM ET,TEX,4.68
RP,Shane Smith (38979492),Shane Smith,38979492,P,7500,-,CWS,15.5
RP,Martin Perez (38979848),Martin Perez,38979848,P,7500,-,CWS,13.85
SP,Davis Martin (38979849),Davis Martin,38979849,P,7500,-,CWS,11.62
SP,Jonathan Cannon (38979850),Jonathan Cannon,38979850,P,7500,-,CWS,11.72
SP,Sean Burke (38979851),Sean Burke,38979851,P,7500,-,CWS,9.97
RP,Jesse Scholtens (38979852),Jesse Scholtens,38979852,P,7500,-,CWS,0
RP,Steven Wilson (38979853),Steven Wilson,38979853,P,7500,-,CWS,2.75
RP,Tyler Gilbert (38979854),Tyler Gilbert,38979854,P,7500,-,CWS,3.25
